Task,Start,End,Connected to previous
Background reading,2012-03-05,2012-04-20,0
Literature review,2012-03-05,2012-09-07,0
Performance benchmarking,2012-04-23,2012-04-27,0
Algorithm analysis,2012-04-30,2012-05-04,1
MATLAB-to-C transformation,2012-05-07,2012-05-18,1
Code improvements,2012-05-21,2012-06-22,1
Block size analysis,2012-06-25,2012-08-24,1
Design of FPGA hardware,2012-06-25,2012-08-24,1
Implementation of FPGA hardware,2012-08-20,2012-09-14,0
Testing and debugging,2012-09-10,2012-09-21,0
Performance benchmarking,2012-09-17,2012-09-28,0
Review,2012-08-24,2012-10-19,0
